SourceSystemIdentifier,SourceSystem,Title,AssignmentCategory,AssignmentDescription,StartDateTime,EndDateTime,DueDateTime,SubmissionType,MaxPoints,LMSSectionSourceSystemIdentifier,CreateDate,LastModifiedDate,SourceCreateDate,SourceLastModifiedDate
2942251001,BestLMS,Algebra foundations,Assignment,Complete the Khan Academy unit: Algebra Foundations. Post a screenshot of your test results as the homework.,8/30/21 23:59,9/1/21 23:59,9/1/21 23:59,online_upload,100,123456780,8/20/21 12:34,8/20/21 12:34,,
2942251001,BestLMS,Algebra foundations,Assignment,Complete the Khan Academy unit: Algebra Foundations. Post a screenshot of your test results as the homework.,8/30/21 23:59,9/1/21 23:59,9/1/21 23:59,online_upload,100,123456790,8/20/21 12:34,8/20/21 12:34,,
2942251002,BestLMS,Domain & Range,Assignment,Complete the Khan Academy unit: Domain & Range. Post a screenshot of your test results as the homework.,9/2/21 23:59,9/3/21 23:59,9/6/21 23:59,online_upload,100,123456780,8/20/21 12:34,8/20/21 12:34,,
2942251002,BestLMS,Domain & Range,Assignment,Complete the Khan Academy unit: Domain & Range. Post a screenshot of your test results as the homework.,9/2/21 23:59,9/3/21 23:59,9/6/21 23:59,online_upload,100,123456790,8/20/21 12:34,8/20/21 12:34,,
2942251004,BestLMS,Exponents,Assignment,Complete the Khan Academy unit: Exponents. Post a screenshot of your test results as the homework.,9/13/21 23:59,9/16/21 23:59,9/17/21 23:59,online_upload,100,123456780,8/20/21 12:34,8/20/21 12:34,,
2942251004,BestLMS,Exponents,Assignment,Complete the Khan Academy unit: Exponents. Post a screenshot of your test results as the homework.,9/13/21 23:59,9/16/21 23:59,9/17/21 23:59,online_upload,100,123456790,8/20/21 12:34,8/20/21 12:34,,
2942251006,BestLMS,Linear Equations,Assignment,Complete the Khan Academy unit: Linear Equations. Post a screenshot of your test results as the homework.,9/20/21 23:59,9/22/21 23:59,9/23/21 23:59,online_upload,100,123456780,8/20/21 12:34,8/20/21 12:34,,
2942251006,BestLMS,Linear Equations,Assignment,Complete the Khan Academy unit: Linear Equations. Post a screenshot of your test results as the homework.,9/20/21 23:59,9/22/21 23:59,9/23/21 23:59,online_upload,100,123456790,8/20/21 12:34,8/20/21 12:34,,
2942251008,BestLMS,Quadratic Functions,Assignment,Complete the Khan Academy unit: Quadratic Functions. Post a screenshot of your test results as the homework.,9/29/21 23:59,9/30/21 23:59,10/1/21 23:59,online_upload,100,123456780,8/20/21 12:34,8/20/21 12:34,,
2942251008,BestLMS,Quadratic Functions,Assignment,Complete the Khan Academy unit: Quadratic Functions. Post a screenshot of your test results as the homework.,9/29/21 23:59,9/30/21 23:59,10/1/21 23:59,online_upload,100,123456790,8/20/21 12:34,8/20/21 12:34,,
2942251010,BestLMS,Rational Expressions,Assignment,Complete the Khan Academy Quiz: Rational Expressions,10/7/21 23:59,10/8/21 23:59,10/8/21 23:59,online_quiz,100,123456780,8/20/21 12:34,8/20/21 12:34,,
2942251010,BestLMS,Rational Expressions,Assignment,Complete the Khan Academy Quiz: Rational Expressions,10/7/21 23:59,10/8/21 23:59,10/8/21 23:59,online_quiz,100,123456790,8/20/21 12:34,8/20/21 12:34,,
2942252012,BestLMS,Word Problems,Assignment,Complete the Khan Academy quiz: Word Problems.,10/13/21 23:59,10/14/21 23:59,10/15/21 23:59,online_quiz,100,123456780,8/20/21 12:34,8/20/21 12:34,,
2942252012,BestLMS,Word Problems,Assignment,Complete the Khan Academy quiz: Word Problems.,10/13/21 23:59,10/14/21 23:59,10/15/21 23:59,online_quiz,100,123456790,8/20/21 12:34,8/20/21 12:34,,
2942252013,BestLMS,Factoring Trinomials,Assignment,Complete the Khan Academy unit: Factoring Trinomials. Post a screenshot of your test results as the homework.,10/18/21 23:59,10/19/21 23:59,10/20/21 23:59,online_upload,100,123456780,8/20/21 12:34,8/20/21 12:34,,
2942252013,BestLMS,Factoring Trinomials,Assignment,Complete the Khan Academy unit: Factoring Trinomials. Post a screenshot of your test results as the homework.,10/18/21 23:59,10/19/21 23:59,10/20/21 23:59,online_upload,100,123456790,8/20/21 12:34,8/20/21 12:34,,
2942252016,BestLMS,"Dot Plots, Histograms",Assignment,"Complete the Khan Academy unit: Dot Plots, Histograms. Post a screenshot of your test results as the homework.",10/27/21 23:59,10/28/21 23:59,10/29/21 23:59,online_upload,100,123456780,8/20/21 12:34,8/20/21 12:34,,
2942252016,BestLMS,"Dot Plots, Histograms",Assignment,"Complete the Khan Academy unit: Dot Plots, Histograms. Post a screenshot of your test results as the homework.",10/27/21 23:59,10/28/21 23:59,10/29/21 23:59,online_upload,100,123456790,8/20/21 12:34,8/20/21 12:34,,
2942252017,BestLMS,Scatter Plots,Assignment,Complete the Khan Academy unit: Scatter Plots. Post a screenshot of your test results as the homework.,11/1/21 23:59,11/2/21 23:59,11/3/21 23:59,online_upload,100,123456780,8/20/21 12:34,8/20/21 12:34,,
2942252017,BestLMS,Scatter Plots,Assignment,Complete the Khan Academy unit: Scatter Plots. Post a screenshot of your test results as the homework.,11/1/21 23:59,11/2/21 23:59,11/3/21 23:59,online_upload,100,123456790,8/20/21 12:34,8/20/21 12:34,,
2942252018,BestLMS,Graphing Inequalities,Assignment,Complete the Khan Academy unit: Graphing Inequalities. Post a screenshot of your test results as the homework.,11/3/21 23:59,11/4/21 23:59,11/5/21 23:59,online_upload,100,123456780,8/20/21 12:34,8/20/21 12:34,,
