SourceSystemIdentifier,SourceSystem,Title,AssignmentCategory,AssignmentDescription,StartDateTime,EndDateTime,DueDateTime,SubmissionType,MaxPoints,LMSSectionSourceSystemIdentifier,CreateDate,LastModifiedDate,SourceCreateDate,SourceLastModifiedDate
2942252026,Canvas,Compare & Contrast,Assignment,Compare & Contrast: Mixed Genre Quiz,2021-08-30 00:00:00,2021-09-01 00:00:00,2021-09-01 00:00:00,online_quiz,100,123456789,2021-08-20 00:00:00,2021-08-20 00:00:00,,
2942252028,Canvas,Grammar,Assignment,Fill-in-the-Blank Grammar Quiz,2021-09-02 00:00:00,2021-09-03 00:00:00,2021-09-06 00:00:00,online_quiz,100,123456789,2021-08-22 00:00:00,2021-08-22 00:00:00,,
2942252030,Canvas,Literature,Assignment,To Kill a Mockingbird Essay,2021-09-20 00:00:00,2021-09-22 00:00:00,2021-09-23 00:00:00,online_upload,100,123456789,2021-08-24 00:00:00,2021-08-24 00:00:00,,
2942252032,Canvas,Literature,Assignment,Romeo & Juliet Character Analysis,2021-09-29 00:00:00,2021-09-30 00:00:00,2021-10-01 00:00:00,online_upload,100,123456789,2021-08-26 00:00:00,2021-08-26 00:00:00,,
2942252034,Canvas,Literature,Assignment,Animal Farm Quiz,2021-09-29 00:00:00,2021-09-30 00:00:00,2021-10-01 00:00:00,online_quiz,100,123456789,2021-08-28 00:00:00,2021-08-28 00:00:00,,
2942252036,Canvas,"Main Idea, Inference",Assignment,Finding Main Idea Quiz,2021-10-07 00:00:00,2021-10-08 00:00:00,2021-10-08 00:00:00,online_quiz,100,123456789,2021-08-30 00:00:00,2021-08-30 00:00:00,,
2942252038,Canvas,Vocabulary,Assignment,Vocabulary Review,2021-10-18 00:00:00,2021-10-19 00:00:00,2021-10-20 00:00:00,online_upload,100,123456789,2021-09-01 00:00:00,2021-09-01 00:00:00,,
2942252040,Canvas,Vocabulary,Assignment,Vocabulary Quiz,2021-10-27 00:00:00,2021-10-28 00:00:00,2021-10-29 00:00:00,online_quiz,100,123456789,2021-09-03 00:00:00,2021-09-03 00:00:00,,
2942252042,Canvas,Writing,Assignment,Elements of an argumentative piece,2021-11-03 00:00:00,2021-11-04 00:00:00,2021-11-05 00:00:00,online_upload,100,123456789,2021-09-05 00:00:00,2021-09-05 00:00:00,,
2942252044,Canvas,Writing,Assignment,Persuasive Writing,2021-11-10 00:00:00,2021-11-11 00:00:00,2021-11-12 00:00:00,online_upload,100,123456789,2021-09-07 00:00:00,2021-09-07 00:00:00,,
2942252046,Canvas,Writing,Assignment,Analyzing short fiction,2021-11-15 00:00:00,2021-11-16 00:00:00,2021-11-17 00:00:00,online_upload,100,123456789,2021-09-09 00:00:00,2021-09-09 00:00:00,,
