SourceSystemIdentifier,SourceSystem,EnrollmentStatus,LMSUserSourceSystemIdentifier,LMSSectionSourceSystemIdentifier,CreateDate,LastModifiedDate,SourceCreateDate,SourceLastModifiedDate
123604,Canvas,Active,100033951,123456791,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123605,Canvas,Active,100033952,123456791,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123606,Canvas,Active,100033953,123456791,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123607,Canvas,Active,100033954,123456791,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123608,Canvas,Active,100033955,123456791,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123609,Canvas,Active,100033956,123456791,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123610,Canvas,Active,100033957,123456791,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123611,Canvas,Active,100033958,123456791,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123612,Canvas,Active,100033959,123456791,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123613,Canvas,Active,100033960,123456791,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123614,Canvas,Active,100033961,123456791,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123615,Canvas,Active,100033962,123456791,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123616,Canvas,Active,100033963,123456791,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123617,Canvas,Active,100033964,123456791,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123618,Canvas,Active,100033965,123456791,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123619,Canvas,Active,100033966,123456791,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123620,Canvas,Active,100033967,123456791,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123621,Canvas,Active,100033968,123456791,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123622,Canvas,Active,100033969,123456791,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123623,Canvas,Active,100033970,123456791,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123624,Canvas,Active,100033971,123456791,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123625,Canvas,Active,100033972,123456791,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123626,Canvas,Active,100033973,123456791,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123627,Canvas,Active,100033974,123456791,2021-08-20 00:00:00,2021-08-20 00:00:00,,
